run,model,task_id,method,rep,path,parsed,behavioral_pass,failure_category,short_failure_reason,oracle_error,captures_visit_fn_return_value,has_print,has_main_guard,signature_excerpt
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,1,/home/cesar/papers/invert/invert-kernel/invert-kernel/data/core_v2/code/core_v2_deterministic_randomized_pilot_local_001/ollama__devstral__latest/letters_8/deterministic/rep_1.py,true,false,exception_during_execution,Runtime failure after treating visit_fn(item) as a transforming function (oracle: '<' not supported between instances of 'NoneType' and 'NoneType').,runtime_error: '<' not supported between instances of 'NoneType' and 'NoneType',true,false,false,"class ItemProcessor:
def __init__(self, items, process_fn, seed=None):
        self.items = sorted(items)
        self.process_fn = process_fn
        if seed is not None:
            random.seed(seed)
def process_all(self):
        processed_items = []
        for item in self.items:
            processed_item = self.process_fn(item)
            processed_items.append(processed_item)
        return sorted(processed_items)"
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,2,/home/cesar/papers/invert/invert-kernel/invert-kernel/data/core_v2/code/core_v2_deterministic_randomized_pilot_local_001/ollama__devstral__latest/letters_8/deterministic/rep_2.py,true,false,exception_during_execution,Runtime failure after treating visit_fn(item) as a transforming function (oracle: '<' not supported between instances of 'NoneType' and 'NoneType').,runtime_error: '<' not supported between instances of 'NoneType' and 'NoneType',true,false,false,"class ItemProcessor:
def __init__(self, items, process_fn, seed=None):
        self.items = sorted(items)
        self.process_fn = process_fn
        if seed is not None:
            random.seed(seed)
def process_all(self):
        processed_items = []
        for item in self.items:
            processed_item = self.process_fn(item)
            processed_items.append(processed_item)
        return sorted(processed_items)"
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,3,/home/cesar/papers/invert/invert-kernel/invert-kernel/data/core_v2/code/core_v2_deterministic_randomized_pilot_local_001/ollama__devstral__latest/letters_8/deterministic/rep_3.py,true,false,exception_during_execution,Runtime failure after treating visit_fn(item) as a transforming function (oracle: '<' not supported between instances of 'NoneType' and 'NoneType').,runtime_error: '<' not supported between instances of 'NoneType' and 'NoneType',true,false,false,"class ItemProcessor:
def __init__(self, items, process_fn, seed=None):
        self.items = sorted(items)
        self.process_fn = process_fn
        if seed is not None:
            random.seed(seed)
def process_all(self):
        processed_items = []
        for item in self.items:
            processed_item = self.process_fn(item)
            processed_items.append(processed_item)
        return sorted(processed_items)"
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,4,/home/cesar/papers/invert/invert-kernel/invert-kernel/data/core_v2/code/core_v2_deterministic_randomized_pilot_local_001/ollama__devstral__latest/letters_8/deterministic/rep_4.py,true,false,exception_during_execution,Runtime failure after treating visit_fn(item) as a transforming function (oracle: '<' not supported between instances of 'NoneType' and 'NoneType').,runtime_error: '<' not supported between instances of 'NoneType' and 'NoneType',true,false,false,"class ItemProcessor:
def __init__(self, items, process_fn, seed=None):
        self.items = sorted(items)
        self.process_fn = process_fn
        if seed is not None:
            random.seed(seed)
def process_all(self):
        processed_items = []
        for item in self.items:
            processed_item = self.process_fn(item)
            processed_items.append(processed_item)
        return sorted(processed_items)"
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,5,/home/cesar/papers/invert/invert-kernel/invert-kernel/data/core_v2/code/core_v2_deterministic_randomized_pilot_local_001/ollama__devstral__latest/letters_8/deterministic/rep_5.py,true,false,exception_during_execution,Runtime failure after treating visit_fn(item) as a transforming function (oracle: '<' not supported between instances of 'NoneType' and 'NoneType').,runtime_error: '<' not supported between instances of 'NoneType' and 'NoneType',true,false,false,"class ItemProcessor:
def __init__(self, items, process_fn, seed=None):
        self.items = sorted(items)
        self.process_fn = process_fn
        if seed is not None:
            random.seed(seed)
def process_all(self):
        processed_items = []
        for item in self.items:
            processed_item = self.process_fn(item)
            processed_items.append(processed_item)
        return sorted(processed_items)"
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,randomized,1,/home/cesar/papers/invert/invert-kernel/invert-kernel/data/core_v2/code/core_v2_deterministic_randomized_pilot_local_001/ollama__devstral__latest/letters_8/randomized/rep_1.py,true,false,output_not_expected_set,Returns values collected from visit_fn(item) instead of the original input items; visit_fn is a void side-effect callback.,wrong_output_set,true,false,false,"class ItemProcessor:
def __init__(self, items, process_fn, seed=None):
        self.items = items[:]
        self.process_fn = process_fn
        if seed is not None:
            random.seed(seed)
def process_all(self):
        random.shuffle(self.items)
        processed_items = set()
        for item in self.items:
            processed_item = self.process_fn(item)
            processed_items.add(processed_item)
        return sorted(processed_items)"
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,randomized,2,/home/cesar/papers/invert/invert-kernel/invert-kernel/data/core_v2/code/core_v2_deterministic_randomized_pilot_local_001/ollama__devstral__latest/letters_8/randomized/rep_2.py,true,false,output_not_expected_set,Returns values collected from visit_fn(item) instead of the original input items; visit_fn is a void side-effect callback.,wrong_output_set,true,false,false,"class ItemProcessor:
def __init__(self, items, process_fn, seed=None):
        self.items = items[:]
        self.process_fn = process_fn
        if seed is not None:
            random.seed(seed)
def process_all(self):
        random.shuffle(self.items)
        processed_items = set()
        for item in self.items:
            processed_item = self.process_fn(item)
            processed_items.add(processed_item)
        return sorted(processed_items)"
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,randomized,3,/home/cesar/papers/invert/invert-kernel/invert-kernel/data/core_v2/code/core_v2_deterministic_randomized_pilot_local_001/ollama__devstral__latest/letters_8/randomized/rep_3.py,true,false,output_not_expected_set,Returns values collected from visit_fn(item) instead of the original input items; visit_fn is a void side-effect callback.,wrong_output_set,true,false,false,"class ItemProcessor:
def __init__(self, items, process_fn, seed=None):
        self.items = items[:]
        self.process_fn = process_fn
        if seed is not None:
            random.seed(seed)
def process_all(self):
        random.shuffle(self.items)
        processed_items = set()
        for item in self.items:
            processed_item = self.process_fn(item)
            processed_items.add(processed_item)
        return sorted(processed_items)"
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,randomized,4,/home/cesar/papers/invert/invert-kernel/invert-kernel/data/core_v2/code/core_v2_deterministic_randomized_pilot_local_001/ollama__devstral__latest/letters_8/randomized/rep_4.py,true,false,output_not_expected_set,Returns values collected from visit_fn(item) instead of the original input items; visit_fn is a void side-effect callback.,wrong_output_set,true,false,false,"class ItemProcessor:
def __init__(self, items, process_fn, seed=None):
        self.items = items[:]
        self.process_fn = process_fn
        if seed is not None:
            random.seed(seed)
def process_all(self):
        random.shuffle(self.items)
        processed_items = set()
        for item in self.items:
            processed_item = self.process_fn(item)
            processed_items.add(processed_item)
        return sorted(processed_items)"
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,randomized,5,/home/cesar/papers/invert/invert-kernel/invert-kernel/data/core_v2/code/core_v2_deterministic_randomized_pilot_local_001/ollama__devstral__latest/letters_8/randomized/rep_5.py,true,false,output_not_expected_set,Returns values collected from visit_fn(item) instead of the original input items; visit_fn is a void side-effect callback.,wrong_output_set,true,false,false,"class ItemProcessor:
def __init__(self, items, process_fn, seed=None):
        self.items = items[:]
        self.process_fn = process_fn
        if seed is not None:
            random.seed(seed)
def process_all(self):
        random.shuffle(self.items)
        processed_items = set()
        for item in self.items:
            processed_item = self.process_fn(item)
            processed_items.add(processed_item)
        return sorted(processed_items)"
