run,model,task_id,method,rep,strip_level,parsed,behavioral_pass,valid_artifact,detected_method,detector_correct,ambiguous,visit_trace,expected_bfs_order,expected_dfs_order,bfs_order_match,dfs_order_match,genuine_bfs,genuine_dfs,pole_manipulation_success,reason
core_v2_generalization_local_bfs_dfs_001,ollama__devstral__latest,branching_1,bfs,1,raw,true,true,true,bfs,true,false,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",A;B;C;D;E;F,A;B;D;E;C;F,true,false,true,false,true,visit_trace_matches_bfs_only
core_v2_generalization_local_bfs_dfs_001,ollama__devstral__latest,branching_1,bfs,1,no_comments,true,true,true,bfs,true,false,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",A;B;C;D;E;F,A;B;D;E;C;F,true,false,true,false,true,visit_trace_matches_bfs_only
core_v2_generalization_local_bfs_dfs_001,ollama__devstral__latest,branching_1,bfs,1,renamed,true,true,true,bfs,true,false,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",A;B;C;D;E;F,A;B;D;E;C;F,true,false,true,false,true,visit_trace_matches_bfs_only
core_v2_generalization_local_bfs_dfs_001,ollama__devstral__latest,branching_1,bfs,1,no_imports,true,true,true,bfs,true,false,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",A;B;C;D;E;F,A;B;D;E;C;F,true,false,true,false,true,visit_trace_matches_bfs_only
core_v2_generalization_local_bfs_dfs_001,ollama__devstral__latest,branching_1,bfs,1,format_normalized,true,true,true,bfs,true,false,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",A;B;C;D;E;F,A;B;D;E;C;F,true,false,true,false,true,visit_trace_matches_bfs_only
core_v2_generalization_local_bfs_dfs_001,ollama__devstral__latest,branching_1,bfs,2,raw,true,true,true,bfs,true,false,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",A;B;C;D;E;F,A;B;D;E;C;F,true,false,true,false,true,visit_trace_matches_bfs_only
core_v2_generalization_local_bfs_dfs_001,ollama__devstral__latest,branching_1,bfs,2,no_comments,true,true,true,bfs,true,false,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",A;B;C;D;E;F,A;B;D;E;C;F,true,false,true,false,true,visit_trace_matches_bfs_only
core_v2_generalization_local_bfs_dfs_001,ollama__devstral__latest,branching_1,bfs,2,renamed,true,true,true,bfs,true,false,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",A;B;C;D;E;F,A;B;D;E;C;F,true,false,true,false,true,visit_trace_matches_bfs_only
core_v2_generalization_local_bfs_dfs_001,ollama__devstral__latest,branching_1,bfs,2,no_imports,true,true,true,bfs,true,false,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",A;B;C;D;E;F,A;B;D;E;C;F,true,false,true,false,true,visit_trace_matches_bfs_only
core_v2_generalization_local_bfs_dfs_001,ollama__devstral__latest,branching_1,bfs,2,format_normalized,true,true,true,bfs,true,false,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",A;B;C;D;E;F,A;B;D;E;C;F,true,false,true,false,true,visit_trace_matches_bfs_only
